Invoice_ID,Vendor_Name,Department,Invoice_Date,Amount,GST,Quantity,Category,True_Anomaly,IQR_Outlier_Flag
INV107875,Vendor_007,Sanitation,2024-06-10,27032.48,5.0,10,Electronics,0,0
INV102487,Vendor_037,Sanitation,2025-09-11,15565.32,18.0,10,Office Equipment,0,0
INV107671,Vendor_012,Administration,2025-01-01,17764.34,28.0,45,Electronics,0,0
INV100500,Vendor_001,Public Works,2024-03-25,21625.75,28.0,7,Furniture,0,0
INV100937,Vendor_999,It & Electronics,2024-06-28,12244.27,28.0,39,Stationery,1,0
INV102625,Vendor_029,Public Works,2024-03-02,17511.02,18.0,33,Cleaning Supplies,0,0
INV104604,Vendor_034,Public Works,2024-06-09,19459.7,18.0,11,Construction Material,0,0
INV106017,Vendor_032,Administration,2025-01-11,17098.35,18.0,42,Medical Supplies,0,0
INV104787,Vendor_037,Education,2024-01-12,17656.55,18.0,41,Electronics,0,0
INV100439,Vendor_019,Health,2025-09-21,12029.93,12.0,21,Vehicle Maintenance,0,0
INV107551,Vendor_017,It & Electronics,2025-10-24,7518.76,28.0,48,Furniture,0,0
INV100624,Vendor_033,Transport,2024-02-15,12034.49,5.0,28,Stationery,0,0
INV101508,Vendor_017,It & Electronics,2025-09-24,9637.76,28.0,16,Medical Supplies,0,0
INV109345,Vendor_036,Public Works,2024-12-16,20458.98,18.0,24,Stationery,0,0
INV108765,Vendor_031,Sanitation,2025-05-25,22142.9,18.0,35,Electronics,0,0
INV102534,Vendor_031,Administration,2024-12-10,14520.12,5.0,17,Vehicle Maintenance,0,0
INV108888,Vendor_015,Sanitation,2025-03-27,25927.17,5.0,47,Software License,0,0
INV100655,Vendor_006,Sanitation,2025-08-23,18202.02,18.0,37,Office Equipment,0,0
INV103412,Vendor_005,Education,2024-10-01,18005.11,5.0,19,Stationery,0,0
INV107354,Vendor_040,Health,2024-03-04,12851.14,28.0,17,Medical Supplies,0,0
INV100518,Vendor_025,Sanitation,2024-10-25,24858.77,28.0,32,Stationery,0,0
INV104989,Vendor_040,Administration,2025-10-30,22177.79,12.0,45,Office Equipment,0,0
INV100346,Vendor_029,Education,2025-04-02,19334.51,5.0,40,Vehicle Maintenance,0,0
INV105130,Vendor_023,It & Electronics,2025-06-08,9027.49,18.0,23,Software License,0,0
INV102304,Vendor_038,Health,2025-10-06,5682.61,5.0,40,Stationery,0,0
INV102138,Vendor_027,It & Electronics,2024-01-05,11594.42,28.0,25,Medical Supplies,0,0
INV100315,Vendor_031,Public Works,2025-07-21,20433.69,5.0,22,Vehicle Maintenance,0,0
INV109363,Vendor_026,Water Supply,2024-10-10,21475.97,5.0,40,Office Equipment,0,0
INV100673,Vendor_037,Education,2025-05-19,17926.44,18.0,2,Medical Supplies,0,0
INV102996,Vendor_025,Transport,2025-12-18,10522.32,5.0,5,Software License,0,0
INV109638,Vendor_011,Education,2024-08-01,16000.64,5.0,5,Office Equipment,0,0
INV103352,Vendor_016,Water Supply,2024-12-07,21276.12,40.0,38,Fuel,1,0
INV100483,Vendor_002,Education,2025-07-20,24210.12,28.0,43,Construction Material,0,0
INV101683,Vendor_028,Sanitation,2024-10-07,21040.91,5.0,26,Software License,0,0
INV108882,Vendor_001,Public Works,2025-01-14,20990.05,12.0,38,Construction Material,0,0
INV109050,Vendor_999,Administration,2024-04-29,16123.33,18.0,9,Fuel,1,0
INV107610,Vendor_023,Public Works,2024-01-05,18527.47,12.0,48,Furniture,0,0
INV108911,Vendor_031,Public Works,2024-12-05,23403.06,5.0,18,Office Equipment,0,0
INV101123,Vendor_019,Transport,2025-02-11,11132.28,18.0,24,Cleaning Supplies,0,0
INV105576,Vendor_024,It & Electronics,2024-09-17,8627.41,18.0,6,Medical Supplies,0,0
INV106266,Vendor_003,Public Works,2024-12-23,20412.95,18.0,36,Furniture,0,0
INV101595,Vendor_018,Health,2025-02-28,13497.9,18.0,32,Vehicle Maintenance,0,0
INV100761,Vendor_022,Transport,2025-08-06,12398.34,28.0,49,Software License,0,0
INV108664,Vendor_024,It & Electronics,2024-03-29,8598.44,5.0,15,Construction Material,0,0
INV108349,Vendor_019,Public Works,2025-04-23,22824.74,12.0,10,Software License,0,0
INV107496,Vendor_034,Health,2025-07-26,12146.49,28.0,48,Office Equipment,0,0
INV102029,Vendor_035,Health,2025-12-25,12158.98,5.0,32,Vehicle Maintenance,0,0
INV106835,Vendor_038,Water Supply,2025-05-25,20410.97,28.0,6,Construction Material,0,0
INV103963,Vendor_014,Education,2025-08-06,10028.17,18.0,22,Medical Supplies,0,0
INV107498,Vendor_005,Sanitation,2025-05-27,19575.85,28.0,21,Medical Supplies,0,0
INV100259,Vendor_039,Public Works,2024-01-30,24603.16,12.0,3,Construction Material,0,0
INV103094,Vendor_029,Public Works,2025-01-10,17669.5,28.0,41,Cleaning Supplies,0,0
INV100952,Vendor_034,Sanitation,2024-01-10,190572.73,18.0,3,Fuel,1,1
INV109817,Vendor_009,Administration,2025-11-30,18891.92,5.0,22,Office Equipment,0,0
INV104055,Vendor_016,Transport,2025-03-01,10338.99,5.0,2,Furniture,0,0
INV107286,Vendor_012,Public Works,2024-07-25,20578.33,28.0,5,Medical Supplies,0,0
INV100311,Vendor_040,Water Supply,2025-04-04,20807.92,12.0,41,Construction Material,0,0
INV104693,Vendor_019,Education,2025-02-07,10575.63,12.0,20,Medical Supplies,0,0
INV102128,Vendor_012,Health,2025-03-14,13065.22,18.0,14,Cleaning Supplies,0,0
INV107207,Vendor_022,Sanitation,2024-09-03,24383.25,18.0,34,Fuel,0,0
INV100932,Vendor_014,Health,2025-02-14,11061.04,18.0,22,Fuel,0,0
INV100031,Vendor_032,Health,2025-06-29,9731.38,12.0,7,Electronics,0,0
INV100035,Vendor_016,Health,2024-03-06,13017.35,18.0,44,Medical Supplies,0,0
INV106096,Vendor_025,Sanitation,2024-12-15,13451.93,18.0,25,Stationery,0,0
INV106556,Vendor_002,Water Supply,2024-12-15,20671.81,12.0,7,Stationery,0,0
INV109228,Vendor_037,Health,2025-02-23,9569.99,28.0,21,Stationery,0,0
INV106601,Vendor_011,Transport,2024-09-05,13983.6,18.0,32,Electronics,0,0
INV108786,Vendor_029,Public Works,2024-06-01,18479.82,18.0,15,Fuel,0,0
INV106128,Vendor_034,Education,2024-11-27,19470.93,12.0,30,Stationery,0,0
INV103378,Vendor_011,Water Supply,2025-06-29,20240.64,12.0,39,Office Equipment,0,0
INV105382,Vendor_019,Administration,2024-10-21,21699.14,12.0,2,Cleaning Supplies,0,0
INV102818,Vendor_040,Water Supply,2025-05-24,21632.81,28.0,7,Cleaning Supplies,0,0
INV104049,Vendor_022,Health,2025-02-12,7132.76,12.0,31,Furniture,0,0
INV108221,Vendor_027,Administration,2025-01-19,17494.68,28.0,19,Medical Supplies,0,0
INV106394,Vendor_017,It & Electronics,2025-12-01,10618.17,18.0,4,Construction Material,0,0
INV109284,Vendor_027,Transport,2024-12-05,7758.35,5.0,42,Fuel,0,0
INV103520,Vendor_033,Transport,2024-05-15,10895.61,28.0,16,Vehicle Maintenance,0,0
INV106728,Vendor_014,Transport,2024-01-24,12792.85,12.0,37,Furniture,0,0
INV105306,Vendor_001,Health,2025-10-15,14152.54,28.0,37,Stationery,0,0
INV100295,Vendor_003,Education,2025-12-25,160408.76,28.0,7,Medical Supplies,1,1
INV102724,Vendor_031,Administration,2024-10-08,20228.61,18.0,36,Stationery,0,0
INV107767,Vendor_033,Administration,2024-11-22,21777.21,12.0,36,Medical Supplies,0,0
INV100080,Vendor_022,Administration,2024-03-12,19841.16,18.0,19,Construction Material,0,0
INV105584,Vendor_016,It & Electronics,2025-10-28,13474.43,28.0,21,Furniture,0,0
INV101953,Vendor_024,Health,2025-06-10,8345.1,18.0,49,Furniture,0,0
INV103393,Vendor_002,Public Works,2024-11-26,16901.2,12.0,9,Electronics,0,0
INV108857,Vendor_005,Transport,2025-07-10,12378.34,18.0,42,Cleaning Supplies,0,0
INV104010,Vendor_039,Sanitation,2025-03-26,22577.23,28.0,6,Medical Supplies,0,0
INV106727,Vendor_003,It & Electronics,2024-01-31,12378.69,5.0,20,Vehicle Maintenance,0,0
INV101310,Vendor_012,Water Supply,2025-01-17,18883.22,12.0,32,Software License,0,0
INV109923,Vendor_030,Sanitation,2024-08-07,21268.95,28.0,15,Medical Supplies,0,0
INV108265,Vendor_032,Water Supply,2024-04-17,22585.97,5.0,30,Furniture,0,0
INV100119,Vendor_021,Water Supply,2025-01-23,20348.51,18.0,33,Vehicle Maintenance,0,0
INV103889,Vendor_032,Education,2025-01-29,14358.28,12.0,45,Construction Material,0,0
INV104779,Vendor_028,It & Electronics,2024-11-08,9192.89,28.0,12,Stationery,0,0
INV200104,Vendor_037,Health,2024-09-17,11078.52,28.0,14,Furniture,1,0
INV103208,Vendor_018,Administration,2024-08-13,16343.0,5.0,28,Software License,0,0
INV108827,Vendor_034,Transport,2025-03-15,10507.06,5.0,13,Vehicle Maintenance,0,0
INV108479,Vendor_030,Health,2025-08-23,12969.79,28.0,29,Electronics,0,0
INV104972,Vendor_014,Health,2025-08-27,10833.85,18.0,20,Medical Supplies,0,0
INV107581,Vendor_019,Water Supply,2024-05-07,140280.06,28.0,36,Medical Supplies,1,1
INV103538,Vendor_032,Administration,2025-02-18,14447.06,1.0,17,Medical Supplies,1,0
INV102515,Vendor_001,Education,2024-10-07,20353.12,18.0,15,Construction Material,0,0
INV107881,Vendor_026,Public Works,2025-07-07,23105.46,18.0,20,Construction Material,0,0
INV102189,Vendor_005,Public Works,2024-04-07,24820.05,28.0,25,Cleaning Supplies,0,0
INV105729,Vendor_026,Transport,2024-05-04,12468.56,28.0,17,Stationery,0,0
INV103869,Vendor_028,Administration,2025-03-08,16224.31,18.0,10,Software License,0,0
INV107722,Vendor_001,Health,2025-11-01,9512.71,28.0,36,Furniture,0,0
INV101145,Vendor_038,Water Supply,2024-02-06,21292.36,55.0,9,Vehicle Maintenance,1,0
INV101453,Vendor_013,Administration,2025-10-12,18274.97,5.0,8,Cleaning Supplies,0,0
INV107709,Vendor_039,Administration,2024-09-16,15337.08,18.0,17,Cleaning Supplies,0,0
INV102319,Vendor_032,Transport,2025-07-31,10350.07,5.0,20,Electronics,0,0
INV103350,Vendor_025,Health,2025-10-01,8492.33,12.0,36,Cleaning Supplies,0,0
INV102960,Vendor_032,Health,2024-03-02,7954.22,28.0,24,Vehicle Maintenance,0,0
INV104518,Vendor_021,Water Supply,2025-08-11,20126.99,18.0,7,Software License,0,0
INV101458,Vendor_028,It & Electronics,2024-11-16,10185.53,12.0,22,Fuel,0,0
INV100304,Vendor_034,Education,2025-10-23,17856.97,28.0,25,Electronics,0,0
INV109084,Vendor_025,Public Works,2024-10-01,22633.51,5.0,34,Office Equipment,0,0
INV100321,Vendor_007,Sanitation,2024-05-29,22465.55,12.0,36,Vehicle Maintenance,0,0
INV103397,Vendor_019,It & Electronics,2024-06-12,11499.98,5.0,1,Construction Material,0,0
INV105386,Vendor_022,Administration,2024-12-18,15133.5,12.0,22,Stationery,0,0
INV104768,Vendor_018,Transport,2025-03-14,10013.3,18.0,24,Vehicle Maintenance,0,0
INV108312,Vendor_017,Education,2025-11-20,16684.15,5.0,42,Office Equipment,0,0
INV101543,Vendor_029,Water Supply,2025-05-02,21938.14,18.0,37,Software License,0,0
INV102045,Vendor_008,Health,2025-03-13,10925.64,18.0,46,Office Equipment,0,0
INV101355,Vendor_021,Public Works,2024-05-31,20125.34,18.0,37,Vehicle Maintenance,0,0
INV100621,Vendor_037,It & Electronics,2025-05-23,10590.35,28.0,24,Electronics,0,0
INV102252,Vendor_023,Administration,2024-02-21,11095.69,18.0,39,Stationery,0,0
INV108086,Vendor_031,It & Electronics,2025-06-03,11609.24,5.0,38,Furniture,0,0
INV102684,Vendor_016,Water Supply,2025-09-13,19993.19,28.0,38,Construction Material,0,0
INV104850,Vendor_018,Sanitation,2024-09-05,19318.88,28.0,18,Stationery,0,0
INV109809,Vendor_025,Administration,2024-08-17,17441.09,12.0,2,Stationery,0,0
INV103401,Vendor_025,Sanitation,2024-02-11,17834.84,28.0,17,Cleaning Supplies,0,0
INV102157,Vendor_032,Health,2024-08-03,9998.41,28.0,16,Electronics,0,0
INV105356,Vendor_004,Water Supply,2024-08-06,21947.23,12.0,21,Medical Supplies,0,0
INV103909,Vendor_021,Health,2025-03-13,12114.44,5.0,30,Furniture,0,0
INV106855,Vendor_017,Transport,2024-07-28,11548.62,28.0,24,Stationery,0,0
INV104228,Vendor_024,Public Works,2025-11-30,244951.62,28.0,32,Office Equipment,1,1
INV105994,Vendor_018,Sanitation,2024-11-12,24019.52,5.0,19,Cleaning Supplies,0,0
INV107001,Vendor_038,Water Supply,2024-06-03,19806.04,18.0,37,Fuel,0,0
INV103745,Vendor_033,Education,2025-11-21,13914.77,18.0,22,Cleaning Supplies,0,0
INV101022,Vendor_011,Sanitation,2025-07-16,17085.11,5.0,25,Stationery,0,0
INV106382,Vendor_009,Education,2025-02-24,10988.44,12.0,34,Stationery,0,0
INV107269,Vendor_001,Health,2024-02-11,11349.18,5.0,5,Software License,0,0
INV103209,Vendor_020,Public Works,2024-05-16,218907.87,12.0,45,Stationery,1,1
INV103071,Vendor_005,Education,2024-09-16,19611.93,28.0,49,Electronics,0,0
INV107582,Vendor_014,Public Works,2025-01-15,20178.75,5.0,6,Furniture,0,0
INV108083,Vendor_011,Health,2024-03-21,9118.97,28.0,8,Fuel,0,0
INV103602,Vendor_003,Public Works,2024-06-08,17135.78,1.0,2,Stationery,1,0
INV105333,Vendor_022,Sanitation,2024-11-26,18140.8,18.0,25,Fuel,0,0
INV102254,Vendor_018,Health,2024-07-20,11453.06,28.0,9,Furniture,0,0
INV100373,Vendor_040,Education,2024-12-11,12958.9,5.0,29,Office Equipment,0,0
INV109356,Vendor_017,Transport,2024-05-17,9218.85,12.0,29,Office Equipment,0,0
INV101833,Vendor_019,Water Supply,2025-07-29,19015.84,28.0,17,Software License,0,0
INV108688,Vendor_038,It & Electronics,2025-08-11,9674.23,18.0,17,Furniture,0,0
INV102519,Vendor_001,Education,2025-10-15,19065.44,18.0,25,Medical Supplies,0,0
INV103608,Vendor_020,It & Electronics,2025-06-16,2925.26,28.0,47,Construction Material,0,0
INV101593,Vendor_029,Transport,2024-01-07,11363.2,12.0,10,Software License,0,0
INV101702,Vendor_007,Transport,2024-01-13,10991.19,5.0,40,Electronics,0,0
INV106562,Vendor_012,Health,2024-05-16,10460.11,18.0,28,Construction Material,0,0
INV108446,Vendor_024,It & Electronics,2025-11-21,10237.8,18.0,6,Cleaning Supplies,0,0
INV102766,Vendor_036,It & Electronics,2024-08-01,6507.12,5.0,39,Construction Material,0,0
INV106734,Vendor_026,Health,2024-07-19,7950.96,28.0,1,Stationery,0,0
INV102122,Vendor_038,Water Supply,2024-02-07,21112.19,12.0,12,Electronics,0,0
INV103473,Vendor_002,Water Supply,2024-02-18,19787.79,18.0,39,Office Equipment,0,0
INV105969,Vendor_022,Water Supply,2025-07-16,19153.33,12.0,46,Vehicle Maintenance,0,0
INV101087,Vendor_022,Public Works,2025-07-04,21834.17,12.0,5,Medical Supplies,0,0
INV106902,Vendor_032,It & Electronics,2025-12-06,6668.76,12.0,13,Medical Supplies,0,0
INV107771,Vendor_003,Public Works,2024-02-14,20989.4,5.0,23,Office Equipment,0,0
INV102948,Vendor_013,Education,2024-07-09,10149.56,5.0,35,Electronics,0,0
INV106390,Vendor_012,Transport,2024-05-23,9299.0,12.0,33,Vehicle Maintenance,0,0
INV106110,Vendor_003,Water Supply,2025-08-06,19775.08,28.0,11,Medical Supplies,0,0
INV101107,Vendor_037,Education,2024-11-21,18180.59,5.0,35,Furniture,0,0
INV106277,Vendor_998,Education,2024-04-09,18463.57,28.0,34,Software License,1,0
INV103880,Vendor_024,Health,2025-01-14,9541.18,28.0,33,Stationery,0,0
INV105477,Vendor_028,It & Electronics,2024-09-01,11194.38,5.0,2,Electronics,0,0
INV105427,Vendor_030,Public Works,2024-07-27,16395.87,12.0,37,Stationery,0,0
INV109636,Vendor_022,It & Electronics,2024-05-21,7322.54,28.0,14,Electronics,0,0
INV109600,Vendor_040,Transport,2024-02-08,9849.52,18.0,8,Software License,0,0
INV100713,Vendor_033,Public Works,2025-06-13,22749.22,12.0,12,Office Equipment,0,0
INV105746,Vendor_021,Administration,2024-01-15,15973.79,5.0,49,Construction Material,0,0
INV104718,Vendor_009,It & Electronics,2024-04-05,4375.92,12.0,38,Furniture,0,0
INV103543,Vendor_026,It & Electronics,2024-06-02,9257.54,5.0,4,Office Equipment,0,0
INV108695,Vendor_031,Health,2025-09-03,12344.49,5.0,11,Cleaning Supplies,0,0
INV108131,Vendor_009,Health,2024-06-29,13483.52,28.0,18,Office Equipment,0,0
INV108452,Vendor_019,Public Works,2024-12-05,17684.62,12.0,22,Cleaning Supplies,0,0
INV102826,Vendor_023,Public Works,2024-05-02,20428.73,5.0,37,Office Equipment,0,0
INV103379,Vendor_028,Water Supply,2025-09-17,20278.29,28.0,2,Furniture,0,0
INV105071,Vendor_010,It & Electronics,2024-08-26,10782.0,5.0,4,Stationery,0,0
INV104335,Vendor_024,Sanitation,2024-08-16,17335.37,28.0,14,Office Equipment,0,0
INV105718,Vendor_008,Administration,2024-03-19,164172.8,28.0,20,Medical Supplies,1,1
INV108850,Vendor_016,Water Supply,2024-11-25,22647.14,28.0,16,Fuel,0,0
INV101760,Vendor_010,Education,2025-08-04,22426.42,28.0,22,Vehicle Maintenance,0,0
INV108317,Vendor_024,Sanitation,2025-02-17,23113.87,28.0,38,Office Equipment,0,0
INV102012,Vendor_023,Public Works,2025-01-12,20701.47,18.0,8,Office Equipment,0,0
INV107690,Vendor_003,Administration,2024-12-27,149337.81,12.0,20,Fuel,1,1
INV109258,Vendor_029,Sanitation,2024-06-06,20011.5,12.0,8,Office Equipment,0,0
INV104119,Vendor_026,Water Supply,2025-08-02,20093.29,28.0,40,Stationery,0,0
